date,open,high,low,close
1612789200000,0.10000000,1.90000000,0.10000000,1.49100000
1612792800000,1.48830000,1.64000000,1.28990000,1.36590000
1612796400000,1.36590000,1.43440000,1.20000000,1.41890000
1612800000000,1.41560000,1.47800000,1.31010000,1.41240000
1612803600000,1.41100000,1.47900000,1.36500000,1.44330000
1612807200000,1.44460000,1.44470000,1.33000000,1.36690000
1612810800000,1.36570000,1.43720000,1.35000000,1.41980000
1612814400000,1.41950000,1.44630000,1.36620000,1.44210000
1612818000000,1.44210000,1.44500000,1.37000000,1.38880000
1612821600000,1.38880000,1.41900000,1.37140000,1.38200000
1612825200000,1.38290000,1.39740000,1.25530000,1.29000000
1612828800000,1.29010000,1.68600000,1.28970000,1.53510000
1612832400000,1.53500000,1.88800000,1.52450000,1.79890000
1612836000000,1.79910000,1.80000000,1.62760000,1.72280000
1612839600000,1.72290000,1.78790000,1.65240000,1.71370000
1612843200000,1.71190000,1.74090000,1.63000000,1.74090000
1612846800000,1.74090000,1.74650000,1.60500000,1.64000000
1612850400000,1.63620000,1.65360000,1.53000000,1.59160000
1612854000000,1.58740000,1.71940000,1.55700000,1.64120000
1612857600000,1.64130000,1.69900000,1.57000000,1.65660000
1612861200000,1.65660000,1.84860000,1.65000000,1.73240000
1612864800000,1.73690000,1.99930000,1.73510000,1.92980000
1612868400000,1.92650000,2.37000000,1.92000000,2.18760000
1612872000000,2.18710000,2.77000000,2.14510000,2.67000000
1612875600000,2.65080000,2.74830000,2.26110000,2.29000000
1612879200000,2.29000000,2.60000000,2.29000000,2.44690000
1612882800000,2.44690000,2.65400000,2.43950000,2.60000000
1612886400000,2.59480000,2.99000000,2.54800000,2.96800000
1612890000000,2.96800000,3.75000000,2.85000000,3.74950000
1612893600000,3.74950000,4.45000000,3.46100000,3.76010000
1612897200000,3.76030000,3.95000000,3.11110000,3.60100000
1612900800000,3.60000000,3.80000000,3.35000000,3.47590000
1612904400000,3.47380000,3.47380000,2.88920000,2.99950000
1612908000000,2.99760000,3.54450000,2.85000000,3.22360000
1612911600000,3.23420000,3.52000000,3.07130000,3.46370000
1612915200000,3.46340000,3.77000000,3.12000000,3.33000000
1612918800000,3.33900000,3.45400000,3.02450000,3.19010000
