date,open,high,low,close
1612789200000,0.10000000,1.90000000,0.10000000,1.02470000
1612790100000,1.02550000,1.46990000,1.02000000,1.19860000
1612791000000,1.19820000,1.37220000,1.11110000,1.29680000
1612791900000,1.29290000,1.72920000,1.27000000,1.49100000
1612792800000,1.48830000,1.64000000,1.43290000,1.45900000
1612793700000,1.48100000,1.48100000,1.28990000,1.31100000
1612794600000,1.31860000,1.45710000,1.29660000,1.37000000
1612795500000,1.37020000,1.43500000,1.31500000,1.36590000
1612796400000,1.36590000,1.36750000,1.20000000,1.21600000
1612797300000,1.21500000,1.31990000,1.21500000,1.30100000
1612798200000,1.30100000,1.34410000,1.24000000,1.30000000
1612799100000,1.30010000,1.43440000,1.27350000,1.41890000
1612800000000,1.41560000,1.46700000,1.31010000,1.32960000
1612800900000,1.32900000,1.38980000,1.32060000,1.36000000
1612801800000,1.36030000,1.40000000,1.33250000,1.39220000
1612802700000,1.39870000,1.47800000,1.38350000,1.41240000
1612803600000,1.41100000,1.43700000,1.36500000,1.42100000
1612804500000,1.42110000,1.47900000,1.42000000,1.43550000
1612805400000,1.43640000,1.44350000,1.40000000,1.41220000
1612806300000,1.41210000,1.45210000,1.40510000,1.44330000
1612807200000,1.44460000,1.44470000,1.38490000,1.39150000
1612808100000,1.39130000,1.40990000,1.35200000,1.36040000
1612809000000,1.35720000,1.36990000,1.33000000,1.34000000
1612809900000,1.34050000,1.39750000,1.33000000,1.36690000
1612810800000,1.36570000,1.39370000,1.35000000,1.39110000
1612811700000,1.38890000,1.41000000,1.35000000,1.37610000
1612812600000,1.37640000,1.39000000,1.36590000,1.38000000
1612813500000,1.38000000,1.43720000,1.37800000,1.41980000
1612814400000,1.41950000,1.44210000,1.40950000,1.41940000
1612815300000,1.41570000,1.42250000,1.36620000,1.39190000
1612816200000,1.39060000,1.43000000,1.38860000,1.42760000
1612817100000,1.42710000,1.44630000,1.42350000,1.44210000
1612818000000,1.44210000,1.44500000,1.40000000,1.42610000
1612818900000,1.42650000,1.42700000,1.37000000,1.40930000
1612819800000,1.40930000,1.41090000,1.38020000,1.40000000
1612820700000,1.39990000,1.40990000,1.38520000,1.38880000
1612821600000,1.38880000,1.39800000,1.37140000,1.39800000
1612822500000,1.39800000,1.41900000,1.39600000,1.41000000
1612823400000,1.40930000,1.41000000,1.38630000,1.39970000
1612824300000,1.39830000,1.40500000,1.37140000,1.38200000
1612825200000,1.38290000,1.39740000,1.33000000,1.33290000
1612826100000,1.33460000,1.36760000,1.33270000,1.36590000
1612827000000,1.36580000,1.36680000,1.34010000,1.34100000
1612827900000,1.34100000,1.34490000,1.25530000,1.29000000
1612828800000,1.29010000,1.41500000,1.28970000,1.38500000
1612829700000,1.38500000,1.54000000,1.38430000,1.48400000
1612830600000,1.48400000,1.68600000,1.48000000,1.60700000
1612831500000,1.60700000,1.63320000,1.48100000,1.53510000
1612832400000,1.53500000,1.60160000,1.52450000,1.59790000
1612833300000,1.59680000,1.69560000,1.56720000,1.65900000
1612834200000,1.65870000,1.88000000,1.65500000,1.84110000
1612835100000,1.84400000,1.88800000,1.73800000,1.79890000
1612836000000,1.79910000,1.79910000,1.66300000,1.74000000
1612836900000,1.73950000,1.80000000,1.68000000,1.71870000
1612837800000,1.71800000,1.75000000,1.66000000,1.67870000
1612838700000,1.67880000,1.73300000,1.62760000,1.72280000
1612839600000,1.72290000,1.72470000,1.65240000,1.67200000
1612840500000,1.67210000,1.76900000,1.67210000,1.76620000
1612841400000,1.76890000,1.78360000,1.71420000,1.78040000
1612842300000,1.78000000,1.78790000,1.69820000,1.71370000
1612843200000,1.71190000,1.74000000,1.68160000,1.70510000
1612844100000,1.70500000,1.70500000,1.63000000,1.65240000
1612845000000,1.65300000,1.72200000,1.65000000,1.71220000
1612845900000,1.71490000,1.74090000,1.68500000,1.74090000
1612846800000,1.74090000,1.74650000,1.65370000,1.68860000
1612847700000,1.68860000,1.70890000,1.67270000,1.67270000
1612848600000,1.67280000,1.67970000,1.60500000,1.63840000
1612849500000,1.63820000,1.67830000,1.62170000,1.64000000
1612850400000,1.63620000,1.65000000,1.60500000,1.63780000
1612851300000,1.63720000,1.63750000,1.56900000,1.58280000
1612852200000,1.58180000,1.62000000,1.53000000,1.60000000
1612853100000,1.60000000,1.65360000,1.56090000,1.59160000
1612854000000,1.58740000,1.63500000,1.55700000,1.61880000
1612854900000,1.61880000,1.68900000,1.59500000,1.65400000
1612855800000,1.65400000,1.71940000,1.65110000,1.65670000
1612856700000,1.65940000,1.67190000,1.60800000,1.64120000
1612857600000,1.64130000,1.65500000,1.60200000,1.61490000
1612858500000,1.60890000,1.63000000,1.57000000,1.61650000
1612859400000,1.61680000,1.68000000,1.59000000,1.67980000
1612860300000,1.67980000,1.69900000,1.62110000,1.65660000
1612861200000,1.65660000,1.74800000,1.65000000,1.70490000
1612862100000,1.70290000,1.84860000,1.69000000,1.84410000
1612863000000,1.84650000,1.84650000,1.73000000,1.74990000
1612863900000,1.74950000,1.75250000,1.70000000,1.73240000
1612864800000,1.73690000,1.82000000,1.73510000,1.80810000
1612865700000,1.80730000,1.82500000,1.77000000,1.80000000
1612866600000,1.80340000,1.99880000,1.79550000,1.97400000
1612867500000,1.97430000,1.99930000,1.88190000,1.92980000
1612868400000,1.92650000,2.22000000,1.92000000,2.16970000
1612869300000,2.16950000,2.37000000,2.13000000,2.22690000
1612870200000,2.22690000,2.27500000,2.09140000,2.16060000
1612871100000,2.16060000,2.22000000,2.06110000,2.18760000
1612872000000,2.18710000,2.29310000,2.14510000,2.23210000
1612872900000,2.23210000,2.42430000,2.19360000,2.41080000
1612873800000,2.40840000,2.73040000,2.32660000,2.60000000
1612874700000,2.59240000,2.77000000,2.42300000,2.67000000
1612875600000,2.65080000,2.74830000,2.50400000,2.50640000
1612876500000,2.51060000,2.63530000,2.35440000,2.39760000
1612877400000,2.39750000,2.53000000,2.33730000,2.33730000
1612878300000,2.33740000,2.44750000,2.26110000,2.29000000
1612879200000,2.29000000,2.58230000,2.29000000,2.55000000
1612880100000,2.54620000,2.60000000,2.37380000,2.48700000
1612881000000,2.48500000,2.51000000,2.38100000,2.50210000
1612881900000,2.50210000,2.51000000,2.40000000,2.44690000
1612882800000,2.44690000,2.64500000,2.43950000,2.64050000
1612883700000,2.64100000,2.65400000,2.52350000,2.58710000
1612884600000,2.58720000,2.59480000,2.50000000,2.51000000
1612885500000,2.50900000,2.65000000,2.50900000,2.60000000
1612886400000,2.59480000,2.64110000,2.54800000,2.58260000
1612887300000,2.58260000,2.87500000,2.57990000,2.85010000
1612888200000,2.85010000,2.88350000,2.65000000,2.75980000
1612889100000,2.75990000,2.99000000,2.75990000,2.96800000
1612890000000,2.96800000,3.40000000,2.85000000,3.32540000
1612890900000,3.32520000,3.33330000,3.09290000,3.18090000
1612891800000,3.17990000,3.34870000,3.02440000,3.21530000
1612892700000,3.21220000,3.75000000,3.20440000,3.74950000
1612893600000,3.74950000,3.87600000,3.46100000,3.78500000
1612894500000,3.78670000,4.45000000,3.76540000,4.21420000
1612895400000,4.20050000,4.40000000,3.60000000,4.15700000
1612896300000,4.16120000,4.27930000,3.62410000,3.76010000
1612897200000,3.76030000,3.76910000,3.34000000,3.48980000
1612898100000,3.48980000,3.68000000,3.11110000,3.40660000
1612899000000,3.41930000,3.78770000,3.33000000,3.58900000
1612899900000,3.58920000,3.95000000,3.56960000,3.60100000
1612900800000,3.60000000,3.80000000,3.58000000,3.69980000
1612901700000,3.69520000,3.69970000,3.45700000,3.60660000
1612902600000,3.60070000,3.65790000,3.35000000,3.42010000
1612903500000,3.41920000,3.60000000,3.41150000,3.47590000
1612904400000,3.47380000,3.47380000,3.15000000,3.29650000
1612905300000,3.29470000,3.32000000,3.14000000,3.16960000
1612906200000,3.17320000,3.25000000,2.88920000,3.12400000
1612907100000,3.12240000,3.23000000,2.97170000,2.99950000
1612908000000,2.99760000,3.08000000,2.85000000,3.04310000
1612908900000,3.05490000,3.44000000,3.05310000,3.36010000
1612909800000,3.36510000,3.54450000,3.30000000,3.30970000
1612910700000,3.30190000,3.46210000,3.16150000,3.22360000
1612911600000,3.23420000,3.28990000,3.07130000,3.27980000
1612912500000,3.27220000,3.48000000,3.26000000,3.32850000
1612913400000,3.32870000,3.37970000,3.20000000,3.37480000
1612914300000,3.37440000,3.52000000,3.32000000,3.46370000
1612915200000,3.46340000,3.77000000,3.46000000,3.69680000
1612916100000,3.69860000,3.73000000,3.43810000,3.57720000
1612917000000,3.57380000,3.63470000,3.45450000,3.59440000
1612917900000,3.59440000,3.60000000,3.12000000,3.33000000
1612918800000,3.33900000,3.38000000,3.17100000,3.33750000
1612919700000,3.33210000,3.45400000,3.25000000,3.30490000
1612920600000,3.30010000,3.30500000,3.10550000,3.12970000
